,screen_name,link,name,description
0,borozaska,https://twitter.com/borozaska,Boka 🥀 (shop open!),artist from Eastern Europe • 1998 • ️‍ • borozaska(at)gmail(dot)com
1,ferafel_,https://twitter.com/ferafel_,☽ 𝚏𝚎𝚛𝚊𝚏𝚎𝚕 ☾,✦ she/her ✦ 20 ✦ rus ✦  commissions are open
2,LunaruXZ,https://twitter.com/LunaruXZ,Lunaru,"Spanish | Pisces | he/they
♥️Likes HK PMMM HLD and creepy stuff
✨Commissions: open✨

University funds:
     340/56000€"
3,REEZARD,https://twitter.com/REEZARD,🐺 🚬, Furry Artist • 21 • He/Him ⚣ •  ‖ Open for commissions ‖ Rly inactive
4,mon_reaux,https://twitter.com/mon_reaux,✨optimistically hysteric✨,"asher  • ♀️ • ♏ • ❤ @___Cylon___ • commissions always open!!


banner art and Icon art by the wonderful @cvteee !"
5,WeaselDumb,https://twitter.com/WeaselDumb,DumbWeasel,"Amber

Full-time visuals artist 
COMMISSIONS OPEN 
DM if  interested

She/her

pfp @drugbeez
Class of 2020 
Closed relationship 

NSFW Acc 18+
@weaselspicy"
6,KalsieC,https://twitter.com/KalsieC,KalsieArtCommissions,Commissions Open | Furry & Human art | He/Him | Friendly DM!!✨
7,DollyDrori,https://twitter.com/DollyDrori,• Dolly •,"• Dolly • 
I do eerie dark and emotional art
My full work at: https://t.co/HcSiYchrqm -- 
My Etsy store is open! 
| DM  business inquiries |"
8,scorpion_sunset,https://twitter.com/scorpion_sunset,SunsetScorpion 🇦🇺🇨🇾🇬🇷,Kat~20~She/Her~TAKEN~Artist~Game Designer~Singer—— Commissions OPEN! —— ElkDragon suiter—-Kinoko Creator 
9,WesternHaunt,https://twitter.com/WesternHaunt,Kat 🌿💀👻,"Howdy I'm Kat! 🤠 They/her 
Art & Personal account - commissions OPEN"
10,Flowfells,https://twitter.com/Flowfells,Flowfell,Furry artist | character designer | 19F|She|Her | commissions open | Caffiene life | art account | digital art | Biological sciences student |
11,bunn_sun,https://twitter.com/bunn_sun,Ellie- Commissions Open!,"I'm Ellie 23  she/her  Disabled 
Trying my best

Work Days : Monday to Friday

Telegram: @SunniestBunny
icon @sugardrift"
12,RileyArtStuff,https://twitter.com/RileyArtStuff,RileyArtStuff,Follow for Commission openings/YCH slot announcement notifications! Commissions are closed unless stated otherwise. You must be 18+ to commission.
13,TheRoyalGryphon,https://twitter.com/TheRoyalGryphon,Royalty,"Digital Artist Freelance Illustrator
https://t.co/menb72bqIY
Commission openings: https://t.co/NfAvbfheRj"
14,SavkateArt,https://twitter.com/SavkateArt,Sav🌿,I'm Sav! a 25 y/o Dutch digital artist // I like drawing animals and fanart // she/her // open for ref sheet commissions //
15,OliTheWorm,https://twitter.com/OliTheWorm,Oli/Olek🪱✨,18 • He/Him • SFW Artist • × • Plant Dad • Aspiring Ecologist -- Coms opening June 1st! --  It's okay to learn. BLM. ACAB. Trans Rights.
16,DumbDingo,https://twitter.com/DumbDingo,DumbDingo,banner & icon made by yours truly | commissions open the first 3 days of every month | @GentlemanRin (husband) | @Lamp_Saint & @WereKaiju (brothers)
17,rattenstein,https://twitter.com/rattenstein,haurchefant's malewife ⚡,"★they/them 
★ 20 
★ + white + digital artist 
★ commissions closed dm to be pinged when slots open.
★ icon by @crittervalley
★ BLM ⛧ ACAB ⛧ LAND BACK"
18,sutexiiart,https://twitter.com/sutexiiart,🌱🍄Chris H.🍄🌱 COMMS OPEN,she/they ️‍ ✦ 23 ✦ white ✦ freelance illustrator ✦ videogame boy & monster girl enjoyer ✦ BLM+ACAB ✦ Contact: chrisutexii@gmail.com
19,LomonosovFur,https://twitter.com/LomonosovFur,Lomonosov Fursuits!,Welcome to Lomonosov Fursuits! // Commissions are closed next opening fall 2021//
20,HOLYSTEAK_,https://twitter.com/HOLYSTEAK_,OFF ❌ (birthday tomorrow!),OFF/Xavier. (they/them xe/xyr)▪︎ 21▪︎ commissions reopen May 25th 3 pm EST. 1312 // icon by @Mercuriym! banner by @PAZB0T!
21,BluJayMacaw,https://twitter.com/BluJayMacaw,BluJayMacaw 🌿,"Hello!! I'm Jay and I like to draw a bunch of thimgs 🦜 | He/Him | minor | DMs open |

Comm: CLOSED"
22,BeetleYeen,https://twitter.com/BeetleYeen,💙💛❤️𝕭𝖊𝖊𝖙𝖑𝖊❤️💛💙,Beetle 🪲 • 3D/2D Artist • Queer • They/Them • 22 • ✡️️‍ • @Purrbone • Comms Open via Post • SFW • icon: @/purrbone !! • banner: @kr00bs !! ✨
23,MushroomHuie,https://twitter.com/MushroomHuie,🍄Huie,Part mushroom part dog  He/Him ️‍ Commission status:  CLOSED | next opening - Fri 28th May @ 7PM BST
24,spiltgrapesoda,https://twitter.com/spiltgrapesoda,Grape,Next Con: Anthro Northwest She/They 20 Fursuit Maker Quotes: $5 Commissions Open July 1 Washington State College Student Taken
25,ZucchiniFuzz,https://twitter.com/ZucchiniFuzz,Fuzz,"Hi I draw standing up animals. 

https://t.co/TQ4zTI1Mpa

Commissions will open the first Friday of each Month (closed)"
26,coffinkat,https://twitter.com/coffinkat,Ｋａｔ🌙,digital artist and a lover of sweets! (she/her)  i smooch @aokamik ✨ commission openings through tweets! ⚠️ sometimes i post nsfw! ⚠️‎‎ ‎‎icon by @Junka_art
27,risterdus,https://twitter.com/risterdus,RISTERDUS ✦ ✦ ✦,Pauline • she/her •  • 1995 • BLM/ACAB • commissions are open
28,Brook_yo_ankles,https://twitter.com/Brook_yo_ankles,♣️♥️Brook♠️♦️,She/They ♣️ Minor (15) ♥️ Digital Artist/Animator ♠ DMs only open to Mutuals ♦️
29,CrowEchoes,https://twitter.com/CrowEchoes,FullMetalJacketFangs (Commissions Open),"Software Engineer~
Engaged to @Uglewen ||
DemiTransBoy || He/Him || 1/3 @DireMoonCafe
Header by @ghosticalz_
AD: @TrippleShotLeo (18+ only)

--No nazis here!"
30,Tikrekins,https://twitter.com/Tikrekins,⭐️Tikru⭐️,Digital Artist | Concept Art Enthusiast | 24/7 existential crisis | She/Her | Commissions CLOSED |  Open side account @tikkeii
31,PinsandQuills,https://twitter.com/PinsandQuills,Pins and Quills,"18+ NSFW/ ANIMAL ARTIST/ HE:HIM/ VERY GAY/ OPEN-MINDED CONTRARIAN
️❌COMMS: CLOSED! Do not DM me!❌️"
32,crysta1k1tty,https://twitter.com/crysta1k1tty,crystal ;;🌸},19 | he/him | commissions: open please DM | art trades: closed
33,mausttrap,https://twitter.com/mausttrap,sully🍧 owa owa,hi im nicole she/her・18+ pls・mostly furry and occasional fanart commissions closed--- reopening june!
34,liadoodles,https://twitter.com/liadoodles,🌿☽ L i α ☾🌿 @Commissions OPEN!,✨Digital Artist✨ • / • she/her • Plants & Witchy stuff • Devoted MMO player • Comms: Open • https://t.co/CMTVLqmpwe
35,waywardmutt,https://twitter.com/waywardmutt,Riley 🐾,Riley! Artist. She/Her. Commission Openings: @RileyArtStuff / Side: @SakePup / Support: https://t.co/mHaLn2iH9d / Married to @kilometers !
36,Novaloux,https://twitter.com/Novaloux,Amelia 💕,I AM SFW pls ignore that Twitter marks me otherwise / 28 she/her | macro gal  |  COMMS will open via forms / art @novartloux ✏️ my boy @pliskincat 
37,Rj_kuns,https://twitter.com/Rj_kuns,Rj-Kun,Struggling as an artist but i can make it! / Musician and Artist / 18 / Commissions are open! 3/3
38,sootfall,https://twitter.com/sootfall,Soot ⥌ #PTY 🏳️‍⚧️ ⥌ BLM/1312 ⥌ #StopAsianHate,🦌Soot  18 SFW  queer  ️‍⚧️ NB (any pronouns)  priv: @sootfalling  ask for AD  Disc: sootfall#4027 DMs Open
39,freakat17,https://twitter.com/freakat17,Freakat (OPEN COMMISSIONS),hi! i'm freakat this is my ig: https://t.co/W8c4TvVZAQ
40,JackalTeeth,https://twitter.com/JackalTeeth,The God Damn Dog,Hatch/Tye | 27 | Freelance Artist & UX Designer | Jackal Dog Fossa | Full of Wanderlust | COMMS: OPEN | : @ChewableFritter | : _oozegod | 
41,rambrandtreal,https://twitter.com/rambrandtreal,rambrandt comms open,I love big horn rams and deer. wants to be an illustrator. trans bi she/her 19. BLM! account is @rambaucherysam personal is @ramantha17
42,zrayUH,https://twitter.com/zrayUH,"👑 hey, it's zray!",zray ♒️| 27 | they/she | pfp: @wildflower_mutt | https://t.co/X4WLK77rrO | BLM | @crystalclarityt | Commissions: OPEN✨
43,jaystor,https://twitter.com/jaystor,✨ 𝕁𝔸𝕐 ✨,✨ JAY ✨ part-time artist full-time jazz hands-doer ✨ ️‍⚧️ ✨ he/him ✨ do not use my art without permission! ✨ COMMISSIONS: open by post!
44,Paranormaws,https://twitter.com/Paranormaws,pine ↟ || commissions open! 🌿,pine/rey  SFW furry artist  agender they/she • taken • 16 • neurodivergent • Ⓐ  INFP ✨ slight gore warning!  don’t steal my art  comm status: OPEN
45,girlpillz,https://twitter.com/girlpillz,girlpillz,COMMISSIONS OPEN!!! LINK TO INFO BELOW!!! /// Janet 26 trans gal she/they Illustrator Poppin' That Estrogen Every Day
46,Chirenbo,https://twitter.com/Chirenbo,Chirenbo,Anthro Artist | Stupid | Chunk of sins | Likes to cry & eat | Not that young | 日本語オッケ | Commission open: DMs or contact me on chirenbotube@gmail.com
47,HopesaCamaraski,https://twitter.com/HopesaCamaraski,Hopesa Camaraski 🇮🇩,Grey Ace | Owns House Cat & Guarded by Wolf | Sabertiger / Deerdog | Loves Squeak and Fluff  | DM Open | SFW
48,C0RNlX,https://twitter.com/C0RNlX,C0RNIX,"| Crow | They/them | 20 |  | ♠ | BLM | SFW |
COMMISSIONS OPEN
NSFW ACCOUNTS DNI"
49,Sony_Shock,https://twitter.com/Sony_Shock,Sony-Shock☄️Read 'Papercut'!,"Artist. I love seafood
KOFIMISSIONS-Open!
REGULAR COMMISSIONS- Closed but contact me
PAPERCUT webcomic- @Papercut_comic"
50,KinSheph,https://twitter.com/KinSheph,☢️Kin(ci)Sheph(olf)☢️,"Ikea gym guinea pigs and Dota 2 fan
Also happen to be an artist  
 FA(and pricelist) - kinsheph 
If I am open for comms I will tweet! pls don't DM "
51,nineki99,https://twitter.com/nineki99,🌵Seven🌙COMMS OPEN 🎃,✨They-Them ✨/ Freelancer~/ ✨22✨/ Not furry I just like drawing anthro stuff/ ENG-ESP/ Creepy and grumpy potato/ Link for comm info on bio!
52,RadioactiveAcid,https://twitter.com/RadioactiveAcid,Komaeda's Tapeworm 🍀🐛💘," Radio ☆ 23 ☆ He/Him 
I draw humans + furries! SFW but 16+ only pls
 DONT REPOST/EDIT/QRT MY ART 
Commissions OPEN!
Currently into Danganronpa
⚣⚧♎"
53,TenebrisFee,https://twitter.com/TenebrisFee,Fee 🐺 is finally drawing again!,Neurodivergent (Aspie) Furry Artist | 29 | She/Them | Non-Binary - Pan | Commissions: Open! 🟢
54,STABLERCAKE,https://twitter.com/STABLERCAKE,🐯 STABLERCAKE 🐲,Mallory Hodgkin aka Stabler (Stay-bler) - Illustrator/Merch Designer/Printmaker - ♒️ - SFW (swears/mild gore) - not open for commission - any pronouns
55,MenagerieWorks,https://twitter.com/MenagerieWorks,MenagerieWorkshop.,I am CLOSED for fursuit commissions!  I will re-open for new projects in Summer 2021!
56,kobayashimaruu,https://twitter.com/kobayashimaruu,💫 ✨Mary✨,❀a minecraft chicken at heart❀ | she/her | demi/pan | ND and disabled | commissions are open!! ❤️ | 99.9% SFW any NSFW is tagged
57,Azuza___,https://twitter.com/Azuza___,Azuza (commissions open),"Hobbyist Artist from Brazil  // ctt ceciliabez1@hotmail.com or DM me!
- check my comm queue status below ⬇️ -"
58,HuskyVoltra,https://twitter.com/HuskyVoltra,Voltra,"Feed me rum 🥃 • Open to Dms  21 • Male • Pansexual • Car Nerd • Longboarding is life skate fast eat ass  
Profile pic: @gatchmon"
59,zannadoodles,https://twitter.com/zannadoodles,Zanna🦌💌 commissions open!,tiny deer who’s an ok artist✨she/her white 20 bisexual✨ icon by @camiilicy !
60,GoopyMaws,https://twitter.com/GoopyMaws,GoopyMaws,open up and say aaahhh | art gets posted here sometimes
61,HomebrewedSuits,https://twitter.com/HomebrewedSuits,HOMEBREWED SUITS,Fursuit Company ✖ Founded by @zestysneplep ✖ Operating Hours: M-F 9AM-6PM ✖ Proud Supporter of the Snow Leopard Trust! ✖ Commissions: Open! (DM for a slot)
62,deleon_fursuits,https://twitter.com/deleon_fursuits,de Leon Fursuits,Commissions are quotes are currently CLOSED. Reopening Fall of 2021. Check my website for all available products.
63,TheRoguez,https://twitter.com/TheRoguez,RayJ ☕️🍰 @ DenFur DD,"☕️ artist/game dev/toy designer open for industry work!  she/her ☸️buddhist  @__Karazu__ 
@CoyoticTrouble
@CoyoticGames
#emahofilm"
64,Atachi_art,https://twitter.com/Atachi_art,👽Atachi👽 COMMISSIONS OPEN,"24 |  | 🤍 | 

COMMISSIONS: https://t.co/jHMnDLzTzp (DM to order)    
QUEUE: https://t.co/MTbcITUTfi…"
65,ElkingArt,https://twitter.com/ElkingArt,Elking 🦌 In-Stream Art Every Friday!,They-Them/29/Parent & full time artist  aka Lea/Vile! ️‍ Comms AUD / OPEN queue / Friday In-Stream Comms! (banner by Gardenoferos pfp by Muttasaur)
66,ROTTROTTROTT,https://twitter.com/ROTTROTTROTT,Rott-Rott,"✞ | SYD |  29  |  ARTIST                                                            
Commissions are Open
| pfp by @hjeojeo "
67,rompers_cheese,https://twitter.com/rompers_cheese,Romper Likes Cheese,My name is Romper and I'm a local furry artist. I love cheese. Coms open!
68,Uglewen,https://twitter.com/Uglewen,Owlwen 🦉👾 (Comms: OPEN),"Furry Artist // 23 // He/Him // Engaged to @CrowEchoes ❤️
|| ⅓ of @DireMoonCafe || ☕ Tips: https://t.co/wh9r41MU4F || 
PFP: CrowEchoes"
69,ritwells,https://twitter.com/ritwells,Ritwell,Riley. 23. he/him. ️‍⚧️ freelance artist self taught. /// COMMISSIONS OPEN. contact: DM or ritwellart@gmail.com
70,RamzaWolf,https://twitter.com/RamzaWolf,Ramza Wolf (Commission Closed),♀️ • Lesbian ⚢ • Demisexual • Taken but open • ♉ •  • Introvert&Shy • Artist • Loves Money&Food • Shares NSFW
